SMILES,Tg
Cc1ccc(cc1Oc1cc(Oc2ccc(c(c2)I)C)cc(c1)C(F)(F)F)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)I,496
Ic1ccc(nc1)Oc1ccc(cc1)C1(c2ccc(cc2)Oc2ccc(nc2)n2c(=O)c3c(c2=O)cc2c(c3)c(=O)n(c2=O)I)c2ccccc2c2c1cccc2,574
Ic1ccc(cn1)Oc1ccc(cc1)C1(c2ccc(cc2)Oc2ccc(cn2)n2c(=O)c3c(c2=O)cc2c(c3)c(=O)n(c2=O)I)c2ccccc2c2c1cccc2,574
Cc1ccc(cc1I)Oc1ccc(cc1)N(c1ccccc1)c1ccc(cc1)Oc1ccc(c(c1)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)I)C,518
OC(=O)c1cc(cc(c1)C(C(F)(F)F)(C(F)(F)F)c1ccc(c(c1)I)C)C(C(F)(F)F)(C(F)(F)F)c1cc(ccc1C)N1C(=O)c2c(C1=O)cccc2c1ccc2c(c1)C(=O)N(C2=O)I,554
Ic1ccc(c(c1)C(C(F)(F)F)(C(F)(F)F)c1cc(cc(c1)C(C(F)(F)F)(C(F)(F)F)c1ccc(c(c1)N1C(=O)c2c(C1=O)cccc2c1ccc2c(c1)C(=O)N(C2=O)I)C)C(=O)O)C,554
O=C1c2cc(ccc2C(=O)N1c1ccc(c(c1Cl)Cl)S(=O)(=O)c1cc2ccccc2cc1S(=O)(=O)c1ccc(c(c1Cl)Cl)I)c1ccc2c(c1)C(=O)N(C2=O)I,656
Cc1cc(cc(c1C(C(F)(F)F)(C(F)(F)F)c1ccc(c(c1)Cl)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)I)C)c1cc(C)c(c(c1)C)C(C(F)(F)F)(C(F)(F)F)c1ccc(c(c1)Cl)I,624
Ic1ccc(c(c1)C)Cc1ccc(c(c1)Cc1ccc(c(c1)C)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)I)C,572
Cc1cc(ccc1Cc1ccc(c(c1)Cc1ccc(c(c1)C)I)C)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)I,572
Ic1ccc(nc1)Cc1ccc2c(c1)cc(cc2)Cc1ccc(cn1)N1C(=O)c2c(C1=O)cc(cc2)c1ccc2c(c1)C(=O)N(C2=O)I,508
Ic1ccc(c(c1)S(=O)(=O)c1c(C)cc(cc1C)S(=O)(=O)c1cc(ccc1C)N1C(=O)c2c(C1=O)cc(cc2)c1ccc2c(c1)C(=O)N(C2=O)I)C,596
Ic1ccc(c(c1)S(=O)(=O)c1cc(C)c(c(c1)C)S(=O)(=O)c1cc(ccc1C)N1C(=O)c2c(C1=O)cc(cc2)c1ccc2c(c1)C(=O)N(C2=O)I)C,596
Ic1ccc(c(c1)Cl)C(=O)c1ccc2c(c1)[nH]c1c2ccc(c1)C(=O)c1ccc(cc1Cl)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)I,545
Cc1ccc(cc1C(C(F)(F)F)(C(F)(F)F)c1ccc(c(c1)Cl)C(C(F)(F)F)(C(F)(F)F)c1ccc(c(c1)I)C)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)I,587
Ic1ccc(c(c1)C(C(F)(F)F)(C(F)(F)F)c1ccc(c(c1)Cl)C(C(F)(F)F)(C(F)(F)F)c1ccc(c(c1)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)I)C)C,587
Ic1ccc(cc1)C(c1c(C)cc(cc1C)c1cc(C)c(c(c1)C)C(c1ccc(cc1)N1C(=O)c2c(C1=O)cccc2c1ccc2c(c1)C(=O)N(C2=O)I)(C)C)(C)C,566
Cc1ccc(cc1N1C(=O)c2c(C1=O)cc(cc2)c1ccc2c(c1)C(=O)N(C2=O)I)Cc1ccc2c(c1)ccc(c2)Cc1ccc(c(c1)I)C,496
Cc1cc(c(cc1N1C(=O)c2c(C1=O)cc(cc2)c1ccc2c(c1)C(=O)N(C2=O)I)C)C(c1cc(C)c(cc1C)C(c1cc(C)c(cc1C)I)(C)C)(C)C,571
Ic1ccc(nc1)C(c1ccc2c(c1)ccc(c2)C(c1ccc(cn1)N1C(=O)c2c(C1=O)cc(cc2)c1ccc2c(c1)C(=O)N(C2=O)I)(C)C)(C)C,525
Ic1ccc(nc1)C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)c1ccc(cn1)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)I,593
Ic1ccc(c(c1)Sc1ccc2c(c1)cc(cc2)Sc1ccc(c(c1)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)I)C)C,484
Cc1ccc(cc1Sc1ccc2c(c1)cc(cc2)Sc1ccc(c(c1)I)C)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)I,484
Ic1ccc(cn1)Oc1cc(C)c(c(c1)C)Oc1ccc(cn1)N1C(=O)c2c(C1=O)cc(cc2)c1ccc2c(c1)C(=O)N(C2=O)I,506
Ic1ccc(nc1)Oc1c(C)cc(cc1C)Oc1ccc(nc1)N1C(=O)c2c(C1=O)cc(cc2)c1ccc2c(c1)C(=O)N(C2=O)I,506
Ic1ccc(cc1)Oc1cc(C)c(cc1C)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)c1ccc2c(c1)C(=O)N(C2=O)I,527
Ic1ccc(c(c1)Cl)Oc1cccc2c1cccc2Oc1ccc(c(c1)Cl)N1C(=O)c2c(C1=O)cc(cc2)c1ccc2c(c1)C(=O)N(C2=O)I,500
Clc1cc(ccc1Oc1cccc2c1cccc2Oc1ccc(c(c1)Cl)I)N1C(=O)c2c(C1=O)cc(cc2)c1ccc2c(c1)C(=O)N(C2=O)I,500
Cc1cc(c(cc1Sc1ccc(cc1)c1ccc(cc1)Sc1cc(C)c(cc1C)I)C)N1C(=O)c2c(C1=O)cc(cc2)c1ccc2c(c1)C(=O)N(C2=O)I,516
Ic1ccc(nc1)Sc1cc(ccc1C)Sc1ccc(cn1)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)I,486
Ic1ccc(nc1)Sc1ccc(c(c1)Sc1ccc(cn1)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)I)C,486
O=C(c1cc(C)c(c(c1)C)I)c1ccc(cc1)N(c1ccccc1)c1ccc(cc1)C(=O)c1c(C)cc(cc1C)N1C(=O)c2c(C1=O)cc(cc2)c1ccc2c(c1)C(=O)N(C2=O)I,562
Ic1cc(C)c(c(c1)C)C(=O)c1ccc(cc1)N(c1ccccc1)c1ccc(cc1)C(=O)c1cc(C)c(c(c1)C)N1C(=O)c2c(C1=O)cc(cc2)c1ccc2c(c1)C(=O)N(C2=O)I,562
Ic1cc(cc(c1)C(F)(F)F)C(=O)c1ccc2c(c1)c1cc(ccc1C2(C)C)C(=O)c1cc(cc(c1)C(F)(F)F)N1C(=O)c2c(C1=O)cccc2c1ccc2c(c1)C(=O)N(C2=O)I,513
Clc1cc(cc(c1)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)I)C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)c1cc(Cl)cc(c1)I,545
Cc1cc(cc(c1S(=O)(=O)c1cc(ccc1C)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)I)C)c1cc(C)c(c(c1)C)S(=O)(=O)c1ccc(c(c1)I)C,649
Ic1ccc(c(c1)S(=O)(=O)c1c(C)cc(cc1C)c1cc(C)c(c(c1)C)S(=O)(=O)c1ccc(c(c1)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)I)C)C,649
Clc1c(ccc(c1Cl)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)I)Oc1ccc2c(c1)[nH]c1c2ccc(c1)Oc1ccc(c(c1Cl)Cl)I,551
Ic1ccc(c(c1)C)Sc1ccc(cc1Cl)Sc1ccc(cc1C)N1C(=O)c2c(C1=O)cc(cc2)c1ccc2c(c1)C(=O)N(C2=O)I,498
Ic1ccc(c(c1)C)Sc1ccc(c(c1)Cl)Sc1ccc(cc1C)N1C(=O)c2c(C1=O)cc(cc2)c1ccc2c(c1)C(=O)N(C2=O)I,498
Ic1ccc(cc1)S(=O)(=O)c1ccc2c(c1)c1cc(ccc1C2(C)C)S(=O)(=O)c1ccc(cc1)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)I,677
Ic1cc(C)c(c(c1)C)Cc1ccc2c(c1)Cc1c2ccc(c1)Cc1cc(C)c(c(c1)C)N1C(=O)c2c(C1=O)cccc2c1ccc2c(c1)C(=O)N(C2=O)I,534
Cc1cc(cc(c1Cc1ccc2c(c1)Cc1c2ccc(c1)Cc1cc(C)c(c(c1)C)I)C)N1C(=O)c2c(C1=O)cccc2c1ccc2c(c1)C(=O)N(C2=O)I,534
Ic1cc(C)c(c(c1)C)Sc1ccc2c(c1)cc(cc2)Sc1cc(C)c(c(c1)C)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)I,535
Cc1cc(cc(c1Sc1ccc2c(c1)cc(cc2)Sc1cc(C)c(c(c1)C)I)C)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)I,535
Ic1ccc(nc1)Sc1c(C)cc(c(c1C)Sc1ccc(cn1)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)I)C,497
Ic1cc(C)c(c(c1)C)Oc1ccc(nc1)Oc1c(C)cc(cc1C)N1C(=O)c2c(C1=O)cccc2c1ccc2c(c1)C(=O)N(C2=O)I,525
Ic1cc(C)c(c(c1)C)Oc1ccc(cn1)Oc1c(C)cc(cc1C)N1C(=O)c2c(C1=O)cccc2c1ccc2c(c1)C(=O)N(C2=O)I,525
Cc1cc(ccc1N1C(=O)c2c(C1=O)cccc2c1ccc2c(c1)C(=O)N(C2=O)I)C(C(F)(F)F)(C(F)(F)F)c1cccc2c1cccc2C(C(F)(F)F)(C(F)(F)F)c1ccc(c(c1)C)I,580
Ic1cc(C)c(c(c1)C)C(c1ccc(c(c1)Cl)C(c1cc(C)c(c(c1)C)N1C(=O)c2c(C1=O)cc(cc2)c1ccc2c(c1)C(=O)N(C2=O)I)(C)C)(C)C,510
O=C1c2cc(ccc2C(=O)N1c1cc(C)c(c(c1)C)C(c1ccc(c(c1)Cl)C(c1cc(C)c(c(c1)C)I)(C)C)(C)C)c1ccc2c(c1)C(=O)N(C2=O)I,510
Cc1cc(Cc2ccc(cc2)c2ccc(cc2)Cc2cc(C)c(c(c2)C)I)cc(c1N1C(=O)c2c(C1=O)cccc2c1ccc2c(c1)C(=O)N(C2=O)I)C,554
O=C(c1ccc2c(c1)[nH]c1c2ccc(c1)C(=O)c1ccc(c(c1)Cl)I)c1ccc(c(c1)Cl)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)I,545
Ic1ccc(c(c1)Cl)C(=O)c1ccc2c(c1)ccc(c2)C(=O)c1ccc(c(c1)Cl)N1C(=O)c2c(C1=O)cccc2c1ccc2c(c1)C(=O)N(C2=O)I,537
Clc1cc(ccc1C(=O)c1ccc2c(c1)ccc(c2)C(=O)c1ccc(c(c1)Cl)I)N1C(=O)c2c(C1=O)cccc2c1ccc2c(c1)C(=O)N(C2=O)I,537
Ic1cc(C)c(c(c1)C)Cc1ccc2c(c1)C(=O)c1c2ccc(c1)Cc1c(C)cc(cc1C)N1C(=O)c2c(C1=O)cc(cc2)c1ccc2c(c1)C(=O)N(C2=O)I,543
Ic1cc(cc(c1)C(=O)O)Oc1ccc(cc1C)Oc1cc(cc(c1)N1C(=O)c2c(C1=O)cccc2c1ccc2c(c1)C(=O)N(C2=O)I)C(=O)O,529
Ic1cc(Oc2ccc(c(c2)C)Oc2cc(cc(c2)N2C(=O)c3c(C2=O)cccc3c2ccc3c(c2)C(=O)N(C3=O)I)C(=O)O)cc(c1)C(=O)O,529
